route,location,url,avg_stars,route_type,rating,pitches,length,y,x
The Hell With That,Orange Oswald Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106942184/the-hell-with-that,2.9,Trad,5.9,1,NA,38.2422,-80.83949
The Grafenburg Crack,L) Dr. Ruth's Big Buttress > Endless Wall > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106155527/the-grafenburg-crack,2.8,Trad,5.9-,1,80,38.05577,-81.05541
Menace Alert,The Long Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/105993751/menace-alert,2.8,Sport,5.9+,1,50,38.24137,-80.84379
Cowboy in the Dirt,Whippoorwill > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/107384091/cowboy-in-the-dirt,2.8,"Sport, TR",5.8,1,70,38.2338,-80.8552
Happy Hands,5) Burning Buttress > Beauty Mountain > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106023184/happy-hands,2.8,Trad,5.9,1,70,38.05238,-81.03324
Little Purple Flowers,Reeds Creek > Eastern WV > West Virginia,https://www.mountainproject.com/route/112835534/little-purple-flowers,3.3,Sport,5.9,1,50,38.785,-79.288
Berecik,0. Zero Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/109419449/berecik,2.8,Sport,5.8,1,60,38.14399,-80.92018
The Good Old Days,3. Rico Suave Buttress > Kaymoor > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/107792690/the-good-old-days,2.9,Trad,5.9,1,60,38.04716,-81.06756
New River Gunks,Junkyard Wall > Junkyard Area > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/105943588/new-river-gunks,2.6,"Trad, TR",5.7+,1,80,38.08299,-81.08043
Lickety Split,The Satisfaction Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106386738/lickety-split,2.7,Sport,5.9,1,60,38.24161,-80.8422
Girl Boner,0. Zero Buttress > Upper Meadow > Meadow River Gorge > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/111054432/girl-boner,2.7,Sport,5.9,1,60,38.14399,-80.92018
Daisy Cutter,12. Beer Wall > Bubba City > New River Gorge Proper > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106406584/daisy-cutter,2.6,Sport,5.7+,1,60,38.09026,-81.08717
Chunko Goes Bowling,Orange Oswald Wall > Summersville Lake (main) > Summersville (Gauley River) Area > The New River Gorge Region > West Virginia,https://www.mountainproject.com/route/106002544/chunko-goes-bowling,2.6,Sport,5.9+,1,80,38.2422,-80.83949
