route_id,route,location,url,avg_stars,rating,rating_simple,rating_int,pitches,length,x,y,region_1,region_2,region_3,region_4,x_diff,y_diff,description,protection,text,bad_tags,feature_tags,other_tags,skill,good_tags,bad_ind,good_ind,fun_ind,pretty_ind,boulder_ind,rope_ind,trad_ind,sport_ind,tr_ind
119095307,De Stilj,3. Piedmont Region > Crowders Mountain > Dixon School Boulders > Lower Dixon > Bethlehem > White Stripes Boulder,https://www.mountainproject.com/route/119095307/de-stilj,2,V2,v2,2,1,8,-81.36243,35.17478,3. Piedmont Region,Crowders Mountain,Dixon School Boulders,NA,0,0,"Start right hand in the crack, left hand on a side pull crimp with a thumb catch, both about head height.  Make a couple precarious moves to a jug pocket and easy top out.",-,"de stilj: start right hand in the crack, left hand on a side pull crimp with a thumb catch, both about head height.  make a couple precarious moves to a jug pocket and easy top out.",-,"crack, crimp, jug, pocket",-,-,easy,0,1,0,0,1,0,0,0,0
123736115,Seven Nation Army,3. Piedmont Region > Crowders Mountain > Dixon School Boulders > Lower Dixon > Bethlehem > White Stripes Boulder,https://www.mountainproject.com/route/123736115/seven-nation-army,2.3,V3,v3,3,1,10,-81.36243,35.17478,3. Piedmont Region,Crowders Mountain,Dixon School Boulders,NA,0,0,"Lower start to Get Behind Me Satan(GBMS)right hand on a very small crimp off the little seam Around the middle of the stripes. Left hand sloped under the start to White Stripes. (using the start to white stripes makes this a 2) BETA:establish with good right foot and then try to bring left foot on the good foot that’s used for White Stripes. then move right hand to start of GBMS. After, pogo with left hand up to jugs for fancy finish or match onto jug and do GBMSMy opinion:In my opinion, this completes the line on that Boulder, making it a stand start, not a high start",Pad,"seven nation army: lower start to get behind me satan(gbms)right hand on a very small crimp off the little seam around the middle of the stripes. left hand sloped under the start to white stripes. (using the start to white stripes makes this a 2) beta:establish with good right foot and then try to bring left foot on the good foot that’s used for white stripes. then move right hand to start of gbms. after, pogo with left hand up to jugs for fancy finish or match onto jug and do gbmsmy opinion:in my opinion, this completes the line on that boulder, making it a stand start, not a high start",-,"crimp, jug, sloper",-,-,good,0,1,0,0,1,0,0,0,0
107704042,Y-Axis,3. Piedmont Region > Crowders Mountain > Dixon School Boulders > Lower Dixon > Bethlehem > Y-Axis Boulder,https://www.mountainproject.com/route/107704042/y-axis,2.6,V1-,v1,1,1,10,-81.36241,35.17508,3. Piedmont Region,Crowders Mountain,Dixon School Boulders,NA,2.0000000006348273e-5,3.0000000000285354e-4,Follow crack up using foot-chips to juggy finish,pad,y-axis: follow crack up using foot-chips to juggy finish,-,"crack, jug",-,-,-,0,0,0,0,1,0,0,0,0
107704026,Exponential,3. Piedmont Region > Crowders Mountain > Dixon School Boulders > Lower Dixon > Bethlehem > Y-Axis Boulder,https://www.mountainproject.com/route/107704026/exponential,2.4,V1,v1,1,1,15,-81.36241,35.17508,3. Piedmont Region,Crowders Mountain,Dixon School Boulders,NA,0,0,Start on good shelf to the right. Move up using diagonal and jugs to topout.,pad,exponential: start on good shelf to the right. move up using diagonal and jugs to topout.,-,jug,-,-,good,0,1,0,0,1,0,0,0,0
107704016,Hypotenuse,3. Piedmont Region > Crowders Mountain > Dixon School Boulders > Lower Dixon > Bethlehem > Y-Axis Boulder,https://www.mountainproject.com/route/107704016/hypotenuse,2.8,V3,v3,3,1,15,-81.36241,35.17508,3. Piedmont Region,Crowders Mountain,Dixon School Boulders,NA,0,0,Start on broken jug/shelf to the left. Progress through diagonal to the right until you can move up into crimps. Progress through crimps for topout.,A couple of pads,hypotenuse: start on broken jug/shelf to the left. progress through diagonal to the right until you can move up into crimps. progress through crimps for topout.,-,"crimp, jug",-,-,-,0,0,0,0,1,0,0,0,0
107754872,Longitude,3. Piedmont Region > Crowders Mountain > Dixon School Boulders > Lower Dixon > Bethlehem > Y-Axis Boulder,https://www.mountainproject.com/route/107754872/longitude,2,V1,v1,1,1,12,-81.36241,35.17508,3. Piedmont Region,Crowders Mountain,Dixon School Boulders,NA,0,0,Work side pulls and footchips to the jug for an easy top-out,pad,longitude: work side pulls and footchips to the jug for an easy top-out,-,jug,-,-,easy,0,1,0,0,1,0,0,0,0
107773689,Starboard,3. Piedmont Region > Crowders Mountain > Dixon School Boulders > Lower Dixon > Bethlehem > Y-Axis Boulder,https://www.mountainproject.com/route/107773689/starboard,2.2,V1,v1,1,1,12,-81.36241,35.17508,3. Piedmont Region,Crowders Mountain,Dixon School Boulders,NA,0,0,Start on undercling and side pull and slowly work up arete until you grab jugs at the top,pad,starboard: start on undercling and side pull and slowly work up arete until you grab jugs at the top,-,"arete, jug",-,-,-,0,0,0,0,1,0,0,0,0
110853023,No Pressure,3. Piedmont Region > Crowders Mountain > Dixon School Boulders > Lower Dixon > Bethlehem > Y-Axis Boulder,https://www.mountainproject.com/route/110853023/no-pressure,2.4,V3+,v3,3,1,15,-81.36241,35.17508,3. Piedmont Region,Crowders Mountain,Dixon School Boulders,NA,0,0,"Start with side pull on left and low on crack at right. The crack is off after the first move. Move up to crescent moon shaped hold on left, there is a right crimp just be for large crack on right. Long move to horn on left, get your balance, right hand to horn directly above. Finish using jugs just over top.",Crash pad and a good spotter,"no pressure: start with side pull on left and low on crack at right. the crack is off after the first move. move up to crescent moon shaped hold on left, there is a right crimp just be for large crack on right. long move to horn on left, get your balance, right hand to horn directly above. finish using jugs just over top.",-,"crack, crimp, jug",-,balance,-,0,0,0,0,1,0,0,0,0
116351845,X-Axis,3. Piedmont Region > Crowders Mountain > Dixon School Boulders > Lower Dixon > Bethlehem > Y-Axis Boulder,https://www.mountainproject.com/route/116351845/x-axis,2.7,V3+,v3,3,1,NA,-81.36241,35.17508,3. Piedmont Region,Crowders Mountain,Dixon School Boulders,NA,0,0,"Start on the left where No Pressure and Longitude begin. Climb up straight, and traverse right all the way across the boulder to Y-Axis or Starboard. The middle is the crux as the feet get bad, and the hands aren't great.",-,"x-axis: start on the left where no pressure and longitude begin. climb up straight, and traverse right all the way across the boulder to y-axis or starboard. the middle is the crux as the feet get bad, and the hands aren't great.",bad,"crux, traverse",-,-,great,1,1,1,0,1,0,0,0,0
125009364,Latitude,3. Piedmont Region > Crowders Mountain > Dixon School Boulders > Lower Dixon > Bethlehem > Y-Axis Boulder,https://www.mountainproject.com/route/125009364/latitude,2.3,V2,v2,2,1,NA,-81.36241,35.17508,3. Piedmont Region,Crowders Mountain,Dixon School Boulders,NA,0,0,Start on the bad left side-pull with good feet. Work up to a jug on the top.,1 pad,latitude: start on the bad left side-pull with good feet. work up to a jug on the top.,bad,jug,-,-,good,1,1,0,0,1,0,0,0,0
