route_id,route,location,url,avg_stars,route_type,rating,pitches,length,y,x
116958137,Boone Swoon,Greenway Boulder > Boone Greenway Trail Boulders > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/116958137/boone-swoon,3.5,Boulder,V2,1,20,36.213,-81.64719
118889444,Liking The Tree,Liking The Lichen Boulder > Two Mile Boulderfield > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/118889444/liking-the-tree,3.5,Boulder,V2 PG13,1,18,36.3902,-80.2954
118750549,Straight to the Dome.,Bold Moon preserve boulder > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/118750549/straight-to-the-dome,2.7,Boulder,V2-,1,20,36.17114,-79.65761
112418345,The Diamond Left,Stigmata Boulder > Two Mile Boulderfield > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/112418345/the-diamond-left,2.8,Boulder,V2,1,NA,36.38623,-80.29532
107686114,Bottle Rocket War,Fireworks Boulder > First Boulders > Stony Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/107686114/bottle-rocket-war,3.5,Boulder,V1-,1,NA,35.43635,-82.72623
107815087,Welcome to Dixon,TMI Boulder > TMI > Lower Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/107815087/welcome-to-dixon,2.7,Boulder,V0-,1,25,35.17529,-81.36139
118072728,Extension Ladder,Cave Boulder > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/118072728/extension-ladder,2.6,Boulder,V1-2,1,NA,35.45016,-82.21828
107778350,Icky Thump,White Stripes Boulder > Bethlehem > Lower Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/107778350/icky-thump,2.5,Boulder,V1,1,12,35.17478,-81.36243
107773590,Hades Hemorrhage,Zeus Eye Boulder > Bethlehem > Lower Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/107773590/hades-hemorrhage,2.9,Boulder,V3,1,13,35.17467,-81.36242
118624252,The Brink,The Brink > The Valley Boulderfield > Moore's Wall (Bouldering) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/118624252/the-brink,3.1,Boulder,V0,1,10,36.40231,-80.28532
113663191,Pancakes,Mushroom Boulder > Blowing Rock Boulders > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/113663191/pancakes,2.7,Boulder,V1-2,1,NA,36.00765,-81.83629
106924038,Maggie,Bart Simpson Boulder > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106924038/maggie,2.3,Boulder,V2,1,15,35.45044,-82.21996
113957686,Classic Traverse,Classic Overhang > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/113957686/classic-traverse,2.7,Boulder,V2-,1,15,35.14451,-82.04893
107681032,El Swiper,White Squirrel/El Swiper Boulder > First Boulders > Stony Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/107681032/el-swiper,3.2,Boulder,V2,1,NA,35.4353,-82.7291
119497245,Little Politician,Upper Tier > Eagle Rock > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/119497245/little-politician,3.3,Boulder,V1,1,10,35.60369,-79.27729
114788555,Aggro Assassin,Proper Modulation Boulder > The Valley Boulderfield > Moore's Wall (Bouldering) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/114788555/aggro-assassin,3.1,Boulder,V2,1,12,36.40048,-80.28448
119997467,The Guinea Hen & the Gilliam,Stigmata Boulder > Two Mile Boulderfield > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/119997467/the-guinea-hen-the-gilliam,3.3,Boulder,V3,1,12,36.38623,-80.29532
112874561,Baby Groot,Front Door Boulder > 107 Boulders > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/112874561/baby-groot,3.2,Boulder,V1 PG13,1,10,35.19565,-83.13872
