state,crag,region_1,region_2,example_location,x,y,n,n_boulder,n_routes,mean_rating,median_rating
Texas,Texas > Tonkawa Falls > 00,Tonkawa Falls,Hidden Cave,-,-97.43075,31.53631,11,11,0,2.7363636363636363,3
Tennessee,Tennessee > Toxic Wall > 00,Toxic Wall,-,-,-86.62159,36.1615,2,2,0,2,2
Maryland,Maryland > Tree of Hearts <3 > 00,Tree of Hearts <3,-,-,-76.61776,39.38939,1,1,0,4,4
Alabama,Alabama > Trussville Boulders > 00,Trussville Boulders,-,-,-86.59549,33.63877,6,6,0,2.5833333333333335,2.25
New Mexico,New Mexico > Truth or Consequences Area > 00,Truth or Consequences Area,Caballo Lake,Bat Cave Area,-107.23409444444444,32.93112777777778,9,0,9,2.6,2.6
New Mexico,New Mexico > Truth or Consequences Area > 01,Truth or Consequences Area,Mud Mountain,Crow Feather Wall,-107.30754,33.15531,6,0,6,2.65,2.45
New Mexico,New Mexico > Truth or Consequences Area > 02,Truth or Consequences Area,"Percha Creek, Hillsboro",-,-107.60665,32.91771,1,0,1,2.4,2.4
New Mexico,New Mexico > Truth or Consequences Area > 03,Truth or Consequences Area,Red Rock Arroyo,Luna Park,-107.41572875,33.49639,8,0,8,2.4125,2.3
Oklahoma,Oklahoma > Tulsa Area > 00,Tulsa Area,3 Fingers Bay,The Poppy Wall,-96.37009,36.16145,1,1,0,2,2
Oklahoma,Oklahoma > Tulsa Area > 01,Tulsa Area,Avery Drive,Lost City Area,-96.13645,36.13582142857143,7,3,4,2.342857142857143,2
Oklahoma,Oklahoma > Tulsa Area > 02,Tulsa Area,Bixhoma lake,-,-95.79053,35.89212,4,4,0,2.25,2
Oklahoma,Oklahoma > Tulsa Area > 03,Tulsa Area,Boar Creek,Breakfast Club Area,-96.294248,36.37778,5,5,0,3.1,3
Oklahoma,Oklahoma > Tulsa Area > 04,Tulsa Area,Chandler Park,Autobahn Area (Main Chandler),-96.12597166666667,36.13780777777778,18,18,0,2.5,2.4
Oklahoma,Oklahoma > Tulsa Area > 05,Tulsa Area,Osage Hills State Park,Gamma Wall,-96.18845999999999,36.73755333333334,3,3,0,2.8333333333333335,3
Oklahoma,Oklahoma > Tulsa Area > 06,Tulsa Area,Prattville,-,-96.160865,36.148354,10,9,1,3.1,3
Oklahoma,Oklahoma > Tulsa Area > 07,Tulsa Area,The Fort,-,-95.22844,35.85344,5,5,0,2.2,2
