state_name,county_name,county_fips,sqmi_land,sqmi_water,x,y
Tennessee,Macon,47111,307.143501228986,0.09524750238,-86.00776242783547,36.5316231997161
Maryland,Somerset,24039,319.748557006702,290.600783432066,-75.75128425930053,38.11629671425164
Louisiana,Calcasieu,22019,1064.080928920772,30.082911074228,-93.35753868775323,30.231023552633662
Ohio,Cuyahoga,39035,457.210402637286,788.317791679692,-81.65822944504926,41.42473181326923
Georgia,Forsyth,13117,224.617964381792,22.566890854306003,-84.12310199540062,34.224704582999856
Iowa,Monona,19133,694.072042907854,4.861434606425999,-95.95738772184318,42.05241402107034
Kansas,Doniphan,20043,393.478745506482,4.796998429747999,-95.14051493149768,39.79066337964482
Texas,Lavaca,48285,969.708782323296,0.726727362032,-96.93174370967772,29.385082586746563
Maryland,Queen Anne's,24035,371.66896167787405,139.025813944006,-76.03564520268993,39.06194816040145
Arkansas,Cleveland,05025,597.910205045716,0.9890778795020001,-92.18814653917258,33.8976494536287
Iowa,Bremer,19017,435.47914075852003,3.92502992007,-92.31795929403204,42.77476359069728
North Carolina,Halifax,37083,723.73774721886,6.532716109728,-77.65467449312168,36.25653226344501
Florida,Baker,12003,585.2298481810419,3.73983030424,-82.28461680405432,30.33052865444245
Louisiana,Natchitoches,22069,1253.32264620267,46.229449608948,-93.09808996936081,31.72281751624517
Michigan,Baraga,26013,898.426565445956,170.509870643338,-88.36656294391302,46.67142591596893
North Dakota,Sargent,38081,858.48297840524,8.39073970635,-97.63217824000789,46.10855416596874
Oklahoma,Washita,40149,1003.088972044956,5.628982216306,-98.99175313855343,35.29107128362253
Oregon,Lincoln,41041,980.982228673904,213.57048615719398,-123.87000511407723,44.64178303975513
Michigan,Gladwin,26051,501.786041086228,14.161083517406,-84.38859755533115,43.99054723336338
Mississippi,Prentiss,28117,414.98498173422,3.2140142067240003,-88.51984557226591,34.618134325781824
Missouri,Henry,29083,696.935247540092,35.389160667386,-93.7929283697577,38.384976829635356
Illinois,Jo Daviess,17085,600.923494861292,17.679583938962,-90.21072824804226,42.365486737623414
North Carolina,Pender,37141,871.295287172822,62.870308742738004,-77.90349181604077,34.522695744538865
Georgia,Schley,13249,166.908497674604,0.914926218198,-84.31723104654128,32.26820634424899
Iowa,Marion,19125,554.489998453486,16.017290504117998,-93.09934700375823,41.33446645585625
Kentucky,Johnson,21115,261.96579771516,2.169726057834,-82.82637309111168,37.85106423774906
Mississippi,Oktibbeha,28105,458.239103848436,3.693481847956,-88.87781013592172,33.42390816884961
Iowa,Union,19175,423.644938009906,2.152848381108,-94.24234695829867,41.02781158612307
Missouri,Shannon,29203,1003.819417569248,0.179155961224,-91.40194214246846,37.1576457244696
Maryland,Talbot,24041,268.55773916897397,208.249309474614,-76.10886420934932,38.76615834972692
Kansas,Allen,20001,500.297163048072,5.027792830758,-95.30030447184681,37.88591302502535
Kansas,Chase,20017,773.05294949454,4.668395189486,-96.59562139162819,38.30287752186503
Texas,Comanche,48093,937.752539866452,9.93034459747,-98.55856032454948,31.948600124013492
Texas,Wise,48497,904.394618963744,18.160633053986,-97.65460698013402,33.21582772782371
Iowa,Dickinson,19059,380.532303745794,23.428916851382,-95.15101047922228,43.37798237222481
Michigan,Alger,26003,915.03382096438,4132.649540426038,-86.60395784301731,46.41321859995366
Michigan,Dickinson,26043,760.9472475415661,15.639429079104001,-87.86962470592832,46.009816982372456
Iowa,Harrison,19085,696.8740588673361,4.758902517612,-95.81559481902919,41.68339134260118
Delaware,Kent,10001,586.060789878302,212.26996720753402,-75.568846719438,39.08628988677497
Iowa,Grundy,19075,501.855262611094,0.035719068224000006,-92.78836326296964,42.40188086462246
Colorado,Routt,08107,2362.018677830008,6.112668021888,-106.99019736339777,40.48513132206068
Arkansas,Woodruff,05147,585.972637000172,8.133069903426,-91.24446671618593,35.18612240071205
Arkansas,Lafayette,05073,529.472248705984,16.613429675505998,-93.60520152699601,33.24224050881842
California,Mariposa,06043,1448.83886886247,13.984948418230001,-119.90774606407412,37.5798010450751
Ohio,Harrison,39067,402.330885597076,8.435233328626,-81.09226841419324,40.293968733455436
Nevada,Nye,32023,18181.905811631623,16.682687880062,-116.47015960947091,38.036547312021135
Kansas,Lincoln,20105,719.395558026114,1.061146906618,-98.2075686372261,39.04568596166564
Alabama,Autauga,01001,594.454786355022,9.914148004672,-86.64405553291273,32.53958316741769
Virginia,Virginia Beach,51810,244.718693190132,252.77990835305198,-76.04427003914894,36.732045452611104
Georgia,Bibb,13021,249.382553225526,5.523265172094,-83.70503714751916,32.80906059900275
Wisconsin,Fond du Lac,55039,719.56565449001,46.275800767945995,-88.48878220684298,43.75371229484913
Wyoming,Washakie,56043,2238.67826497194,4.02159596078,-107.67962227491243,43.904976925022375
Iowa,Lee,19111,517.549869527018,21.338609272234,-91.48181375626598,40.64176044118981
Ohio,Wayne,39169,554.788827501814,1.946102343168,-81.88845082835655,40.82939634513766
Pennsylvania,Lackawanna,42069,458.885889563572,6.142172006218001,-75.60470400228814,41.43790125613497
Texas,Throckmorton,48447,912.5518623272881,2.929041586972,-99.21225469906032,33.17754422455126
Virginia,Louisa,51109,495.077653199724,14.603479961209999,-77.96189633556737,37.980141391355026
Nebraska,Lincoln,31111,2564.13922964019,10.979464426788,-100.74751451732021,41.04654583478369
Indiana,Rush,18139,408.13655272180597,0.32368475068,-85.46555322446885,39.61999554114069
North Carolina,Henderson,37089,372.94916702911,2.135680355678,-82.47927880635486,35.3354114567808
South Dakota,Gregory,46053,1014.949238222978,38.571877059887996,-99.18840389869666,43.19420783651763
Texas,McMullen,48311,1139.798805651834,16.982744346648,-98.56835197454282,28.35230163347554
Florida,Broward,12011,1202.9087887554801,105.518766163124,-80.48730445838528,26.151761752121548
Kentucky,Laurel,21125,433.703043759176,9.989777664432001,-84.11324099774498,37.10969676849753
