route,location,url,avg_stars,route_type,rating,pitches,length,y,x
Cheap Seats,Circus Wall > Sentinel Buttress > Moore's Wall (Routes) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/201065460/cheap-seats,2,Trad,5.9,1,110,36.3973,-80.2861
Massive Ordnance Penetrator,Big Green > Panthertown Valley > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/201207163/massive-ordnance-penetrator,2,Trad,5.9,1,150,35.1562,-83.0281
Arcanum Arete,Table Rock > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/201484744/arcanum-arete,3,Trad,5.9,1,80,35.88831,-81.88519
Sugar Swine,The Cave > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/202067322/sugar-swine,2,Trad,5.9,1,50,35.449,-82.2143
Two Tree Floor,Herrin Knob > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/202284793/two-tree-floor,4,Trad,5.9,1,115,35.33813,-82.60733
Old Yeller,The Dump aka Warpin and Dorphin (Routes) > The Dump > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/123699695/old-yeller,2,Trad,5.9+,1,NA,36.09709,-81.7719
Pons of Catalonia,Table Rock > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/125162677/pons-of-catalonia,2,Trad,5.9+,1,70,35.88831,-81.88519
1. Laughing Waters,Main Wall > Little Bearwallow Falls > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/125423089/1-laughing-waters,3.8,Sport,5.9+,1,95,35.46771,-82.3394
Warp Factor T,Shortoff Mountain > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/126091345/warp-factor-t,2,Trad,5.9+,3,300,35.83139,-81.90257
Under Dog,Underlook > Panthertown Valley > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/127244905/under-dog,2,Trad,5.9+,1,150,35.16955,-83.02227
Equivocate,Carnivore Club Area > Lion’s Den Area > The Cookbook Area > Cooks Wall > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/200549391/equivocate,2.5,Trad,5.9+,1,35,36.37882,-80.2851
Back to School,Stone Mountain South Face > Stone Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/200586125/back-to-school,2,Trad,5.9+,1,100,36.3916,-81.0473
The Navigator,Stone Depot > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/200595958/the-navigator,2.5,Trad,5.9+,1,210,35.2591,-82.8004
Blood Sugar,Woody Wall > Panthertown Valley > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/200698521/blood-sugar,2,Trad,5.9+ R,1,120,35.16807,-83.0312
Edward Scissorhands,Creepy Corridor > The Mojo Dojo > Cooks Wall > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/201008295/edward-scissorhands,2,Trad,5.9+,1,90,36.37947,-80.29041
