118912604,Location,Below “trial and error”,Location`Below “trial and error”
118912604,Protection,Pads,Protection`Pads
121812511,Description,Start low in juggy pockets and work your way up to nice jugs before grabbing some small stuff and working your way to classic but easy mantle.,Description`Start low in juggy pockets and work your way up to nice jugs before grabbing some small stuff and working your way to classic but easy mantle.
121966021,Description,Amazing holds and great rock quality.  A bit of a no fall zone up high.,Description`Amazing holds and great rock quality.  A bit of a no fall zone up high.
121966021,Location,"From recluse, walk uphill, then 200’ right.","Location`From recluse, walk uphill, then 200’ right."
121966021,Protection,Not really… tall enough to be a trad route.,Protection`Not really… tall enough to be a trad route.
120407530,Description,"Sit start on grey arete, then make moves left on perfect in cuts, then mantle top at mid way length of boulder. Great moves.","Description`Sit start on grey arete, then make moves left on perfect in cuts, then mantle top at mid way length of boulder. Great moves."
120407530,Location,Same start as Grey Arete.,Location`Same start as Grey Arete.
120407530,Protection,pad,Protection`pad
116159694,Description,"Obvious crack on right side of long wall, on right side of boulder field.","Description`Obvious crack on right side of long wall, on right side of boulder field."
116159694,Location,right side of boulder field,Location`right side of boulder field
121003243,Description,Sit start and climb up the right arete of the face until you're mostly standing. Then work your way up the face to the top out. Crux is believing that you can find the jug on the top left corner of the face to help with the top out. Watch out for poison ivy growing around this boulder.,Description`Sit start and climb up the right arete of the face until you're mostly standing. Then work your way up the face to the top out. Crux is believing that you can find the jug on the top left corner of the face to help with the top out. Watch out for poison ivy growing around this boulder.
121003243,Location,"Looking uphill, the climb is on the left side of the obvious large gap on the left end of the boulder.","Location`Looking uphill, the climb is on the left side of the obvious large gap on the left end of the boulder."
121003243,Protection,"1-2 pads at the base, a spotter or a helmet to keep from busting your head on the rock wall 4ft behind you.","Protection`1-2 pads at the base, a spotter or a helmet to keep from busting your head on the rock wall 4ft behind you."
107734149,Description,"Stand start on shelf at lower left of boulder, go up to good sidepull edges around the arete, work these up and go out right to slopey edges and up to the isolated sidepull on the arete...from here, make it to the slightly vegetated edge, mantle and go straight over onto slab. Great problem!","Description`Stand start on shelf at lower left of boulder, go up to good sidepull edges around the arete, work these up and go out right to slopey edges and up to the isolated sidepull on the arete...from here, make it to the slightly vegetated edge, mantle and go straight over onto slab. Great problem!"
107734149,Location,Located on the left side of the downhill face of the boulder.,Location`Located on the left side of the downhill face of the boulder.
107734149,Protection,Crashpad,Protection`Crashpad
107686613,Description,Sit start with left hand on low sloping edge and right hand on a big sidepull around the bulging arete...move up to double on the big sloping edge and snatch a perfectly placed left hand sidepull before bossing it up the slopers and edges to the tall top out. Great problem!,Description`Sit start with left hand on low sloping edge and right hand on a big sidepull around the bulging arete...move up to double on the big sloping edge and snatch a perfectly placed left hand sidepull before bossing it up the slopers and edges to the tall top out. Great problem!
107686613,Location,"On the right side of the Unclimbed Highball Boulder, pads fit nicely with a small rhododendron holding them in place.","Location`On the right side of the Unclimbed Highball Boulder, pads fit nicely with a small rhododendron holding them in place."
107686613,Protection,Crashpad,Protection`Crashpad
106924018,Description,Climb the jugs on the north side of the boulder. Sit start.,Description`Climb the jugs on the north side of the boulder. Sit start.
106924018,Location,Three feet right of Bart; large overhanging prow.,Location`Three feet right of Bart; large overhanging prow.
106924018,Protection,Boulder pad(s).,Protection`Boulder pad(s).
114273308,Description,"The first boulder you see on the river floor. Perfect jugs, and a committing topout due to the height.","Description`The first boulder you see on the river floor. Perfect jugs, and a committing topout due to the height."
114273308,Location,The big fin,Location`The big fin
114273308,Protection,Crash pad!,Protection`Crash pad!
114191197,Description,Sit start and follow the reachy incut crimps up to easier topout holds.,Description`Sit start and follow the reachy incut crimps up to easier topout holds.
114191197,Location,"Sit start around the middle of the right, smaller face of the Devil Boulder","Location`Sit start around the middle of the right, smaller face of the Devil Boulder"
114191197,Protection,Pad(s),Protection`Pad(s)
112825188,Description,"Start on a couple of good underclings near the ground. Work up and right into a rail, following it to the arete. Then move back left and up to jugs for a slabby top out.  According to the guide an alternate name for this climb is ""Pre-pad era warmup"". Indeed, the climb is gently overhung, skin-friendly, and has a great landing.","Description`Start on a couple of good underclings near the ground. Work up and right into a rail, following it to the arete. Then move back left and up to jugs for a slabby top out.  According to the guide an alternate name for this climb is ""Pre-pad era warmup"". Indeed, the climb is gently overhung, skin-friendly, and has a great landing."
112825188,Location,"In the corridor area, across from Zen Spasm.","Location`In the corridor area, across from Zen Spasm."
112825188,Protection,Pads,Protection`Pads
107704026,Description,Start on good shelf to the right. Move up using diagonal and jugs to topout.,Description`Start on good shelf to the right. Move up using diagonal and jugs to topout.
107704026,Location,"When facing the downhill side of Y-Axis, the starting shelf for this route is on the right-hand side.","Location`When facing the downhill side of Y-Axis, the starting shelf for this route is on the right-hand side."
107704026,Protection,pad,Protection`pad
107754965,Description,Funky congested undercling start. Get out from under roof and work your way up to easy top out,Description`Funky congested undercling start. Get out from under roof and work your way up to easy top out
107754965,Location,Under roof on trail side of boulder,Location`Under roof on trail side of boulder
107754965,Protection,pad,Protection`pad
106652745,Description,"Climb the very thin arete, pinching and lying back the whole way up.  Climbs more like a flake than an arete.  You can climb either side at the same grade.  Down climb the backside of the boulder to descend.  Classic for the grade, and good practice for some of the flakes at the cereal buttress.","Description`Climb the very thin arete, pinching and lying back the whole way up.  Climbs more like a flake than an arete.  You can climb either side at the same grade.  Down climb the backside of the boulder to descend.  Classic for the grade, and good practice for some of the flakes at the cereal buttress."
106652745,Location,"This boulder is kind of trick to find, but you will know it when you see it.  I got there by basically bushwhacking straight over from The Crystal Entity.  Just look for the awesome looking flake.","Location`This boulder is kind of trick to find, but you will know it when you see it.  I got there by basically bushwhacking straight over from The Crystal Entity.  Just look for the awesome looking flake."
106652745,Protection,Pads,Protection`Pads
111418581,Description,High ballin easy up face left of tree.,Description`High ballin easy up face left of tree.
111418581,Protection,multiple pads and spotters,Protection`multiple pads and spotters
107704016,Description,Start on broken jug/shelf to the left. Progress through diagonal to the right until you can move up into crimps. Progress through crimps for topout.,Description`Start on broken jug/shelf to the left. Progress through diagonal to the right until you can move up into crimps. Progress through crimps for topout.
107704016,Location,"When facing the downhill side of Y-Axis, the starting hold for this route is on the left-hand side.","Location`When facing the downhill side of Y-Axis, the starting hold for this route is on the left-hand side."
107704016,Protection,A couple of pads,Protection`A couple of pads
114121817,Description,"Start on the low jug on the right side of the boulder. Move up the arete to a good side pull. From here, top out straight up for easier V2 finish, make a relatively big move out left to grab the lip and use a heel hook to top out for V3 finish.","Description`Start on the low jug on the right side of the boulder. Move up the arete to a good side pull. From here, top out straight up for easier V2 finish, make a relatively big move out left to grab the lip and use a heel hook to top out for V3 finish."
114121817,Location,Located at the entrance to the patio area. Boulder is on the left side of the trail and you will walk directly past it once you enter the patio area.,Location`Located at the entrance to the patio area. Boulder is on the left side of the trail and you will walk directly past it once you enter the patio area.
114121817,Protection,crash pad,Protection`crash pad
107726889,Description,Start on jugs on left. Work flake until you find good holds. Heel hook and use foot chips on face. Grab sharp hold on right than fight for the top-out,Description`Start on jugs on left. Work flake until you find good holds. Heel hook and use foot chips on face. Grab sharp hold on right than fight for the top-out
107726889,Location,Left side chalked up jug,Location`Left side chalked up jug
107726889,Protection,pad,Protection`pad
107815144,Description,Start on the bulbous sloper and move right with heel-hooks and hands until you can grab the horizontal below the flake. Swing over and grab flake for top-out,Description`Start on the bulbous sloper and move right with heel-hooks and hands until you can grab the horizontal below the flake. Swing over and grab flake for top-out
107815144,Location,Middle of incinerator boulder,Location`Middle of incinerator boulder
107815144,Protection,pad and someone to move it.,Protection`pad and someone to move it.
112039043,Description,Start to the left of the tree on large jug on the low bulge. Work straight up following the crack to an interesting top out.,Description`Start to the left of the tree on large jug on the low bulge. Work straight up following the crack to an interesting top out.
112039043,Location,North face of the Warmup boulder.,Location`North face of the Warmup boulder.
112039043,Protection,"Pads, flat landing","Protection`Pads, flat landing"
113903187,Description,Start on the triangular feature. Traverse right to the farthest right crack on the boulder. Top out through the crack.,Description`Start on the triangular feature. Traverse right to the farthest right crack on the boulder. Top out through the crack.
113903187,Location,North face of the Stigmata boulder.,Location`North face of the Stigmata boulder.
113903187,Protection,Pads and a spotter.,Protection`Pads and a spotter.
118641708,Description,"Side pull up to a under cling and press to another undercling off to the right following the crack, then a shaky move to a right sided jug, then straight up to the top out.","Description`Side pull up to a under cling and press to another undercling off to the right following the crack, then a shaky move to a right sided jug, then straight up to the top out."
