route_id,field,value,info
117735628,Protection,5 bolts to shared anchor with route to the right.,Protection`5 bolts to shared anchor with route to the right.
117829051,Description,A little wanderary with bigger moves to finger buckets.,Description`A little wanderary with bigger moves to finger buckets.
117829051,Location,Take a trail to the ledge above the main trail.  This route is on the left side and starts almost in the chasm.,Location`Take a trail to the ledge above the main trail.  This route is on the left side and starts almost in the chasm.
117829051,Protection,Bolts and Anchors,Protection`Bolts and Anchors
106060036,Description,This is a nice variation to Remission.  Climb the first 15 Ft. of Remission and then continue directly up the face.  There are amazing holds on this climb and you can use the many horizontals to place gear.  The top gets a bit dirty like Remission.,Description`This is a nice variation to Remission.  Climb the first 15 Ft. of Remission and then continue directly up the face.  There are amazing holds on this climb and you can use the many horizontals to place gear.  The top gets a bit dirty like Remission.
106060036,Location,"Locate Remission, climb until it bears Left, head straight up the face.","Location`Locate Remission, climb until it bears Left, head straight up the face."
106060036,Protection,"Hand size pieces for the start, tricams and smaller cams for the rest.  Shuts at top.","Protection`Hand size pieces for the start, tricams and smaller cams for the rest.  Shuts at top."
108894236,Description,"Bouldery start, High first bolt.  If you peel off before completing the crux doing this top rope be ready for a good pendulum. Crux is pulling the overhang.","Description`Bouldery start, High first bolt.  If you peel off before completing the crux doing this top rope be ready for a good pendulum. Crux is pulling the overhang."
108894236,Location,Start about 15 feet to the left of Boy Scout under a small overhang. Lower or rappel.,Location`Start about 15 feet to the left of Boy Scout under a small overhang. Lower or rappel.
108894236,Protection,Bolted route and has fixed anchors at the top.,Protection`Bolted route and has fixed anchors at the top.
