route,location,url,avg_stars,route_type,rating,pitches,length,y,x
In Sprite of It All,Mid Prospectors > Prospectors > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/114357805/in-sprite-of-it-all,3,Trad,5.10-,1,70,37.28855,-82.30904
Sailing off the Map,Pirate Crags > Pinnacle Ridge > Charlottesville vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/113972681/sailing-off-the-map,3,Trad,5.10a PG13,1,40,37.83008,-79.07126
Momsight,Lower Lodges > Towers/Lodges > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/122051874/momsight,3.1,Sport,5.10a,1,80,37.28629,-82.30648
World's End,Seclusion > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/110475203/worlds-end,2.8,"Trad, TR",5.10- PG13,1,45,38.98996,-77.24799
Coordination Street,Main Wall > Crescent Rocks > Shenandoah & NW VA Region > Virginia,https://www.mountainproject.com/route/105856279/coordination-street,2.3,"Trad, TR",5.10a,1,45,39.13925,-77.83794
Voodoo,A) Main Wall > Manchester Wall > Richmond Vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/107787258/voodoo,2.5,Sport,5.10a,1,NA,37.5296,-77.4459
Jenga Tower,Virtues Roof > New Beginnings Area > Mile Two Routes > (2) Mile Two > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/108803934/jenga-tower,2.7,Sport,5.10a,1,60,37.02657,-81.87315
Right of the Box,Aid Box > Great Falls > DC & Northern VA Region > Virginia,https://www.mountainproject.com/route/110475292/right-of-the-box,2.4,"Trad, TR",5.10- PG13,1,35,38.98854,-77.24734
Well Hung,A) Main Wall > Manchester Wall > Richmond Vicinity > Central & Southern VA Region > Virginia,https://www.mountainproject.com/route/107787254/well-hung,2.3,"Trad, Sport",5.10a,1,NA,37.5296,-77.4459
The Feast,Eastern Prospectors > Prospectors > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/118126846/the-feast,2.2,Sport,5.10a,1,NA,37.28329,-82.30227
Where's Wile E. ?,Eastern Prospectors > Prospectors > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/119004862/wheres-wile-e,2.7,Sport,5.10a,1,100,37.28329,-82.30227
Dancing Bears,Clinchfield Crag > Prospectors > Breaks Interstate Park > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/119406002/dancing-bears,2.5,Trad,5.10a,1,55,37.2891,-82.30873
Sarcophagus,The Grave Yard > Mile 3 Routes > (3) Mile Three > Guest River Gorge > Southwest Virginia (Appalachia) > Virginia,https://www.mountainproject.com/route/118243605/sarcophagus,2.5,Sport,5.10-,1,30,36.90338,-82.41632
