"ID","h","s","v","hex3","area","radius","X","Y"
65,211.00800402075,0.844158011893857,0.263999402259775,"#0A417C",1.65650517754413,0.409681663366121,31.9981701362534,-7.05424575873942
1473,211.057502506059,0.848441332222726,0.263508869565419,"#0A417C",2.64670143536622,0.517848358285685,29.5161682590844,-55.3088007695594
202,211.161791207739,0.85009321239611,0.265110163982713,"#0A417D",9.38479255326863,0.975129883520639,80.6823966736203,-81.2844797025903
33,211.820948970457,0.853372246534093,0.26823504654387,"#0A417F",1.41747399088209,0.378972482560939,39.741976067654,-94.3177642948734
1034,210.87103989643,0.849245177013951,0.265063476668148,"#0A427D",2.0769459614204,0.458735896973725,86.1810698170752,-56.4962821555897
185,211.384156554657,0.854722847879375,0.269686713261388,"#0A4280",2.72782905420603,0.525725088374251,159.21300200113,-146.404038299074
288,210.410987018364,0.857202477261598,0.265241322312401,"#0A437E",7.36303544158164,0.863731130700715,165.635766364823,-31.0059008743934
270,210.883683506622,0.860801927956909,0.269553755975325,"#0A4380",11.9411412672797,1.09995025671216,121.291310709325,-120.743718812882
165,210.934657819228,0.854499635229589,0.271845129391626,"#0A4381",2.11939307499725,0.463399843506766,101.253941626975,-124.329510110687
983,211.370081509958,0.863260950904135,0.274412369273695,"#0A4382",52.3058824261711,2.30210640911245,124.981425516011,-73.029265395208
1032,211.508393085653,0.852589544621601,0.275916804577957,"#0A4382",91.8795865825977,3.05112249264389,102.921527000713,-59.8295391830546
386,211.676621310489,0.859158369336532,0.276784481064506,"#0A4383",2.58728936905699,0.512003145789254,39.803098961781,-12.5402844817678
543,210.862646496431,0.856317706664756,0.278045383786084,"#0A4584",40.8996046178119,2.03568080758756,40.0281429480865,-24.7819968816043
566,209.288890113035,0.860696312721036,0.267828602657755,"#0A467F",41.3670918210879,2.0472817849905,54.2162745152683,-65.0573636720405
1031,211.115032108354,0.865991741335183,0.281831676549453,"#0A4686",28.9436197847583,1.71248410663734,96.314611406547,-53.3781236682314
960,210.139103091028,0.857611450657567,0.279794574298251,"#0A4785",3.02243248776193,0.553386336241774,142.47292921594,-71.664856279552
536,209.894778982484,0.863754316128808,0.280996651766605,"#0A4886",93.1960327818227,3.07290291942723,5.22782321095461,-19.1954536053185
436,210.16510851697,0.86403197060563,0.284710048248016,"#0A4887",2.61455446156338,0.514693843700269,22.8981604901351,-13.2015644320301
425,208.622570097893,0.857333216189305,0.273984452366805,"#0A4982",4.42239571403424,0.669389548977836,102.245515992709,-3.59256517558396
1187,209.226574628584,0.855694196910848,0.279959652755933,"#0A4984",4.09375399623566,0.644037266343453,172.444931234102,-153.733898649194
327,209.461020594044,0.864852871214713,0.279963818860878,"#0A4985",6.97352986722269,0.840574981969008,45.2320052835787,-21.7928129458056
101,208.547771158749,0.865869376295448,0.279078558069122,"#0A4A85",2.59045510659425,0.512316286655488,156.009266561458,-146.404038299074
562,208.564201151894,0.864494713638088,0.280931567071273,"#0A4B86",32.2142480796872,1.80665042152095,53.7667741808265,-78.7833749854382
553,208.895447562739,0.860143790979736,0.287360798596912,"#0A4C88",14.8738445801039,1.22761375773013,51.4933122948396,-84.5180877818411
579,208.648676354298,0.867986995630158,0.288644716627609,"#0A4C89",142.63514610648,3.80157359951197,44.0880462782927,-46.1539161474968
441,207.348781672497,0.868374418073566,0.284278419701214,"#0A4E87",2.90859725573367,0.542865099900325,105.934081065218,-3.9939499992003
42,207.69137137673,0.871223396740173,0.29087301883401,"#0A4F8B",2.14925150558408,0.466652661506238,48.4086289680573,-82.1496666194999
424,207.13661795987,0.86208650117661,0.288707968456743,"#0A5089",7.63078380696024,0.879295199259041,109.927300738348,-2.84077021203377
432,206.826735404441,0.86037948208931,0.289960237582967,"#0A518A",5.21976191717249,0.727236176066012,96.9143986417001,-3.99202282613127
86,206.671503243614,0.868434883041582,0.291868780275643,"#0A528B",2.62963622177884,0.516176185560121,0.752377137872511,-104.07321061458
578,205.345149692051,0.877854395307312,0.309578490521397,"#0A5A94",3.57482598371454,0.601835193375514,18.6216875839179,-65.0587643281623
1266,217.130039257969,0.819010885198555,0.229928312655028,"#0B2F6B",2.24206822975975,0.476622499307512,107.518078290979,-131.941089198529
787,218.217488826938,0.829323772606237,0.24632385860327,"#0B3173",2.75887797055999,0.528708597908062,154.986840966457,-112.945623071062
1070,215.957741828986,0.813517089403727,0.23347836259601,"#0B326C",3.38994637694624,0.5860660196567,96.2925218497614,-119.862403146767
1241,216.188628416548,0.819534066151768,0.238944496507753,"#0B336F",5.86047842730299,0.770578101794182,57.9146017443099,-30.7042369282849
1140,216.231752752486,0.825502732853234,0.243203088668775,"#0B3371",14.3540776583031,1.20597352310625,83.0301463470976,-48.0472427713328
