subcounty_fips,county_fips,state_name,county_name,subcounty_name,n_lgbt,pct_lgbt,x,y,pct_dem,pct_temp_ideal,avg_daytime_temp,n_gym_10mi,n_boulder_60mi,n_route_200mi,gym_x,gym_y,gym_name,pct_temp_above_60,pct_not_poverty,pct_price_affordable,pct_cost_affordable
2501501370,25015,Massachusetts,Hampshire County,Amherst Town,178,0.00501804239963914,-72.50685037873849,42.364475804874104,0.6949670994131246,0.4712328767123288,59.520234520547945,1,326,292,-72.5844906,42.3420669,Central Rock Gym,0.47671232876712333,0.829724853405503,0.606987951807229,0.365150832958127
2501519370,25015,Massachusetts,Hampshire County,Easthampton Town,256,0.01589765882133764,-72.67200591129426,42.265148301370346,0.6949670994131246,0.4712328767123288,59.520234520547945,1,292,294,-72.5844906,42.3420669,Central Rock Gym,0.47671232876712333,0.8405887101782277,0.8781875658587988,0.7473787680209698
2501526535,25015,Massachusetts,Hampshire County,Granby,60,0.00985545335085414,-72.50362200337206,42.2608128045923,0.6949670994131246,0.4712328767123288,59.520234520547945,1,352,292,-72.5844906,42.3420669,Central Rock Gym,0.47671232876712333,0.9124507227332457,0.7921699291961682,0.6130434782608696
2501527690,25015,Massachusetts,Hampshire County,Hadley,252,0.047556142668428,-72.56920115067688,42.35561285004379,0.6949670994131246,0.4712328767123288,59.520234520547945,1,315,292,-72.5844906,42.3420669,Central Rock Gym,0.47671232876712333,0.9273447820343461,0.5948326482677628,0.5223613595706619
2501529265,25015,Massachusetts,Hampshire County,Hatfield,76,0.02286401925391094,-72.62173836380207,42.38788479341339,0.6949670994131246,0.4712328767123288,59.520234520547945,1,326,292,-72.5844906,42.3420669,Central Rock Gym,0.47671232876712333,0.8754512635379061,0.726605504587156,0.6083333333333334
2501546330,25015,Massachusetts,Hampshire County,Northampton,818,0.02856145251396648,-72.6745453701586,42.32663312679339,0.6949670994131246,0.4712328767123288,59.520234520547945,1,280,294,-72.5844906,42.3420669,Central Rock Gym,0.47671232876712333,0.8316689944134078,0.6924353478080487,0.5866696997270245
2501552560,25015,Massachusetts,Hampshire County,Pelham,40,0.03003003003003002,-72.41638988157204,42.38081046711176,0.6949670994131246,0.4712328767123288,59.520234520547945,1,353,290,-72.5844906,42.3420669,Central Rock Gym,0.47671232876712333,0.8536036036036037,0.7414187643020596,0.6085106382978723
2501564145,25015,Massachusetts,Hampshire County,South Hadley,126,0.00723721998851234,-72.57930641956322,42.25670470973769,0.6949670994131246,0.4712328767123288,59.520234520547945,1,335,294,-72.5844906,42.3420669,Central Rock Gym,0.47671232876712333,0.9044227455485353,0.8749327112865601,0.788316946211683
2501579915,25015,Massachusetts,Hampshire County,Williamsburg,164,0.06038291605301914,-72.72953211344655,42.40241687360775,0.6949670994131246,0.4712328767123288,59.520234520547945,1,270,294,-72.5844906,42.3420669,Central Rock Gym,0.47671232876712333,0.9149484536082474,0.7885835095137421,0.728695652173913
2501700380,25017,Massachusetts,Middlesex County,Acton,100,0.00417344852051248,-71.43778897910383,42.48429066649823,0.6849439107216314,0.4849315068493151,61.55121150684931,1,1007,285,-71.4724583,42.5526844,MetroRock Littleton,0.5068493150684932,0.9015900838863152,0.18254198031268098,0.204664845555789
2501701605,25017,Massachusetts,Middlesex County,Arlington,620,0.01347386721721176,-71.1638620023904,42.41866666578424,0.6849439107216314,0.4849315068493151,61.55121150684931,12,969,283,-71.1398849,42.39077229999999,Central Rock Gym,0.5068493150684932,0.9261327827882212,0.13810869203922216,0.1598908949214184
2501702130,25017,Massachusetts,Middlesex County,Ashland,330,0.01765272279875896,-71.46864592491468,42.257298987581315,0.6849439107216314,0.4849315068493151,61.55121150684931,1,950,286,-71.3976141,42.31869409999999,Central Rock Gym,0.5068493150684932,0.9211511714988766,0.3287886733088621,0.23988995873452545
