year,film,category,winner,has_indicators,name,mpaa_rating,rating_imdb,rating_rtaudience,rating_rtcritic,release_date,format,genre_action,genre_adventure,genre_biography,genre_comedy,genre_crime,genre_drama,genre_family,genre_fantasy,genre_filmnoir,genre_history,genre_horror,genre_music,genre_mystery,genre_romance,genre_sci-fi,genre_sport,genre_thriller,genre_war,genre_western
1963,Black Fox,DOCUMENTARY (Feature),1,TRUE,"Louis Clyde Stoumen, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,Dylan Thomas,DOCUMENTARY (Short Subject),1,TRUE,"Jack Howells, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,The John Glenn Story,DOCUMENTARY (Short Subject),0,TRUE,"William L. Hendricks, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,The Road To The Wall,DOCUMENTARY (Short Subject),0,TRUE,"Robert Saudek, Producer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,Electra,INTERNATIONAL FEATURE FILM,0,TRUE,Greece,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,The Four Days Of Naples,INTERNATIONAL FEATURE FILM,0,TRUE,Italy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,Keeper Of Promises (The Given Word),INTERNATIONAL FEATURE FILM,0,TRUE,Brazil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,Sundays And Cybele,INTERNATIONAL FEATURE FILM,1,TRUE,France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,Tlayucan,INTERNATIONAL FEATURE FILM,0,TRUE,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,Freud,MUSIC (Original Score),0,TRUE,Jerry Goldsmith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,Lawrence Of Arabia,MUSIC (Original Score),1,TRUE,Maurice Jarre,PG,8.3,93,97,1962-12-11,NA,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,Mutiny On The Bounty,MUSIC (Original Score),0,TRUE,Bronislau Kaper,UNRATED,7.2,72,71,1962-11-08,5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1963,Taras Bulba,MUSIC (Original Score),0,TRUE,Franz Waxman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,To Kill A Mockingbird,MUSIC (Original Score),0,TRUE,Elmer Bernstein,NOT RATED,8.3,93,91,1963-03-16,NA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,Billy Rose's Jumbo,MUSIC (Original Song Score or Adaptation Score),0,TRUE,George Stoll,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,Gigot,MUSIC (Original Song Score or Adaptation Score),0,TRUE,Michel Magne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,Gypsy,MUSIC (Original Song Score or Adaptation Score),0,TRUE,Frank Perkins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,Meredith Willson's The Music Man,MUSIC (Original Song Score or Adaptation Score),1,TRUE,Ray Heindorf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,The Wonderful World Of The Brothers Grimm,MUSIC (Original Song Score or Adaptation Score),0,TRUE,Leigh Harline,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
