hex,rank,emoji,year,category,subcategory,name,source
\x{1F943},316,🥃,2016,Food & Drink,drink,tumbler glass,2021
\x{1F63F},317,😿,2010,Smileys & Emotion,cat-face,crying cat,2021
\x{1F697},318,🚗,2010,Travel & Places,transport-ground,automobile,2021
\x{1F30E},319,🌎,2014,Travel & Places,place-map,globe showing Americas,2021
\x{1F54A FE0F},320,🕊️,2014,Animals & Nature,animal-bird,dove,2021
\x{1F50A},321,🔊,2010,Objects,sound,speaker high volume,2021
\x{1F985},322,🦅,2016,Animals & Nature,animal-bird,eagle,2021
\x{1F6BF},323,🚿,2015,Objects,household,shower,2021
\x{1F986},324,🦆,2016,Animals & Nature,animal-bird,duck,2021
\x{1F349},325,🍉,2010,Food & Drink,food-fruit,watermelon,2021
\x{1F36C},326,🍬,2010,Food & Drink,food-sweet,candy,2021
\x{1F9F8},327,🧸,2018,Activities,game,teddy bear,2021
\x{270D FE0F},328,✍️,2014,People & Body,hand-prop,writing hand,2021
\x{1F368},329,🍨,2010,Food & Drink,food-sweet,ice cream,2021
\x{1F4DD},330,📝,2010,Objects,writing,memo,2021
\x{1F91A},331,🤚,2016,People & Body,hand-fingers-open,raised back of hand,2021
\x{1F4E9},332,📩,2010,Objects,mail,envelope with arrow,2021
\x{1F4B5},333,💵,2010,Objects,money,dollar banknote,2021
\x{1F47C},334,👼,2010,People & Body,person-fantasy,baby angel,2021
\x{1F4AD},335,💭,2015,Smileys & Emotion,emotion,thought balloon,2021
\x{1F30D},336,🌍,2014,Travel & Places,place-map,globe showing Europe-Africa,2021
\x{2B05 FE0F},337,⬅️,2010,Symbols,arrow,left arrow,2021
\x{26AB},338,⚫,2010,Symbols,geometric,black circle,2021
\x{1F467},339,👧,2010,People & Body,person,girl,2021
\x{1F3F5 FE0F},340,🏵️,2014,Animals & Nature,plant-flower,rosette,2021
\x{1F91C},341,🤜,2016,People & Body,hand-fingers-closed,right-facing fist,2021
\x{1F37F},342,🍿,2015,Food & Drink,food-prepared,popcorn,2021
\x{1F9FF},343,🧿,2018,Activities,game,nazar amulet,2021
\x{1F3C0},344,🏀,2010,Activities,sport,basketball,2021
\x{1F34F},345,🍏,2010,Food & Drink,food-fruit,green apple,2021
\x{1F333},346,🌳,2015,Animals & Nature,plant-other,deciduous tree,2021
\x{1F649},347,🙉,2010,Smileys & Emotion,monkey-face,hear-no-evil monkey,2021
\x{1F626},348,😦,2015,Smileys & Emotion,face-concerned,frowning face with open mouth,2021
\x{26BE},349,⚾,2010,Activities,sport,baseball,2021
\x{1F930},350,🤰,2016,People & Body,person-role,pregnant woman,2021
\x{1F379},351,🍹,2010,Food & Drink,drink,tropical drink,2021
\x{1F366},352,🍦,2010,Food & Drink,food-sweet,soft ice cream,2021
\x{1F6D1},353,🛑,2016,Travel & Places,transport-ground,stop sign,2021
\x{1F9D8},354,🧘,2017,People & Body,person-resting,person in lotus position,2021
\x{1F354},355,🍔,2010,Food & Drink,food-prepared,hamburger,2021
\x{1F3D6 FE0F},356,🏖️,2014,Travel & Places,place-geographic,beach with umbrella,2021
\x{1F342},357,🍂,2010,Animals & Nature,plant-other,fallen leaf,2021
\x{1F412},358,🐒,2010,Animals & Nature,animal-mammal,monkey,2021
\x{1F36A},359,🍪,2010,Food & Drink,food-sweet,cookie,2021
\x{1F640},360,🙀,2010,Smileys & Emotion,cat-face,weary cat,2021
\x{1F357},361,🍗,2010,Food & Drink,food-prepared,poultry leg,2021
\x{1F320},362,🌠,2010,Travel & Places,sky & weather,shooting star,2021
\x{1F3AC},363,🎬,2010,Objects,light & video,clapper board,2021
\x{1F335},364,🌵,2010,Animals & Nature,plant-other,cactus,2021
\x{1F344},365,🍄,2010,Food & Drink,food-vegetable,mushroom,2021
