route,location,url,avg_stars,route_type,rating,pitches,length,y,x
Zydygo,Screamweaver Area > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/105947730/zydygo,3,Trad,5.10c,1,90,35.45073,-82.21796
Master Beta,06. Red Wall > Main Climbing Areas > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/106456087/master-beta,3,Sport,5.10c,1,80,35.23437,-81.27357
Dinkus Dog,South Side > Looking Glass Rock > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106045504/dinkus-dog,3.8,Trad,5.10b,2,200,35.30054,-82.79229
KB Capers,Main Tier > Ship Rock > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/105936891/kb-capers,3.3,Trad,5.10a,2,140,36.099,-81.7815
Break On Through,Circus Wall > Sentinel Buttress > Moore's Wall (Routes) > Hanging Rock State Park > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/106820153/break-on-through,3.7,Trad,5.10a,2,200,36.3973,-80.2861
Capt Crunch,Cereal Buttress > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/105930790/capt-crunch,3.4,Trad,5.10d,1,80,35.44953,-82.21258
Rusty Redneck,Comatose Area > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/105937310/rusty-redneck,3.1,"Trad, Sport",5.10c,1,100,35.4499,-82.21438
Pump Street,08. Amphitheater > Pilot Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/109506951/pump-street,2.7,Sport,5.10a,1,65,36.34013,-80.48401
Code 3,Little Wilson > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/107199103/code-3,3.3,Sport,5.10d,1,50,36.0885,-81.79303
Erocktica,07. Little Amphitheater > Pilot Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/108245161/erocktica,2.7,Sport,5.10c,1,50,36.34005,-80.48457
Fathom,Laurel Knob > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/106014851/fathom,3.5,Trad,5.10a,8,1000,35.15026,-83.0564
Energy Czar,04. David's Castle Wall > Main Climbing Areas > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/106427936/energy-czar,3.3,Sport,5.10d,1,70,35.2331,-81.2745
Drivin' and Cryin',Flakeview Area > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/105937411/drivin-and-cryin,2.6,Sport,5.10a,1,110,35.45193,-82.21857
