route,location,url,avg_stars,route_type,rating,pitches,length,y,x
DogSlide,Dogsback Mountain boulders > Gold Coast Cliffs > Linville Gorge > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/200608455/dogslide,2,Boulder,V3,1,NA,35.86483,-81.9141
Slippery When Whet,Front Door Boulder > 107 Boulders > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/200634125/slippery-when-whet,2.5,Boulder,V3,1,12,35.19565,-83.13872
Chi,The Notch > Hull Area > West Side Boulders > Rumbling Bald Bouldering > Rumbling Bald > 1. Southern Mountains Region > North Carolina,https://www.mountainproject.com/route/200660323/chi,3,Boulder,V3,1,15,35.45149,-82.2192
Punk in Drublic,The Pub Boulder > McKinney Gap Boulders > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/201142244/punk-in-drublic,3.7,Boulder,V3,1,15,35.95802,-82.4677
Banjaxed,The Pub Boulder > McKinney Gap Boulders > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/201142256/banjaxed,3,Boulder,V3,1,15,35.95802,-82.4677
Seven Nation Army,White Stripes Boulder > Bethlehem > Lower Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/123736115/seven-nation-army,2.3,Boulder,V3,1,10,35.17478,-81.36243
Unknown (Its),His & Hers Boulder > Bethlehem > Lower Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/127313588/unknown-its,2,Boulder,V3,1,8,35.17505,-81.36227
Dazed And Confused,Led Zeppelin > Classics Patio > Lower Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/125741271/dazed-and-confused,2.5,Boulder,V3,1,20,35.17495,-81.36191
Desperate Lunge,Lovers Boulder Cluster > TMI > Lower Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/200893434/desperate-lunge,2.3,Boulder,V3,1,15,35.17531,-81.36214
Big Cojones,TMI Boulder > TMI > Lower Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/125750494/big-cojones,2,Boulder,V3,1,25,35.17529,-81.36139
Coy Traverse,Coyote Cave > McKinney Gap Boulders > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/201666489/coy-traverse,2,Boulder,V3,1,30,35.96027,-82.46826
Aftershave,Incinerator Boulder > TMI > Lower Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/201944306/aftershave,2,Boulder,V3,1,10,35.17529,-81.36123
Break In The Clouds,Black Cloud Boulder > Pride Lands > Upper Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/201944349/break-in-the-clouds,3,Boulder,V3,1,25,35.17685,-81.35832
Garden Groove,Far Away Slab > Pride Lands > Upper Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/202033460/garden-groove,3.5,Boulder,V3,1,15,35.17708,-81.35835
Super Weenie Hut Jr.,Rock Bottom > Pride Lands > Upper Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/202043389/super-weenie-hut-jr,2,Boulder,V3,1,10,35.17685,-81.35853
Opposite Day,Rock Bottom > Pride Lands > Upper Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/202043464/opposite-day,3,Boulder,V3,1,10,35.17685,-81.35853
Keeper Of The Dick,TMI Boulder > TMI > Lower Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/202275918/keeper-of-the-dick,2,Boulder,V3,1,10,35.17529,-81.36139
Nugget Traverse,North Cary Park Boulders > Raleigh area climbing > 4. Eastern Region > North Carolina,https://www.mountainproject.com/route/123995185/nugget-traverse,3,Boulder,V3+,1,10,35.82189,-78.78747
Kung Fu Panda (Eliminate),Clark's Creek > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/126224989/kung-fu-panda-eliminate,2,Boulder,V3+,1,10,35.32912,-80.77886
Unknown (They),His & Hers Boulder > Bethlehem > Lower Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/127313666/unknown-they,3,Boulder,V3-4,1,12,35.17505,-81.36227
Dirt Dobber,Patio Area > Pride Lands > Upper Dixon > Dixon School Boulders > Crowders Mountain > 3. Piedmont Region > North Carolina,https://www.mountainproject.com/route/200794252/dirt-dobber,3,Boulder,V3-4,1,8,35.17748,-81.35851
Boney Blues Low,Coyote Cave > McKinney Gap Boulders > 2. Northern Mountains Region > North Carolina,https://www.mountainproject.com/route/201666518/boney-blues-low,2,Boulder,V3-4,1,8,35.96027,-82.46826
